position_cycle_id,domain_class,stable_trade_id,trade_id,symbol,direction,cycle_start_time_beijing,cycle_end_time_beijing,root_position_source_row,root_fill_count,realized_pnl,commission_cost,funding_fee_signed,funding_event_count,legacy_strict_net,commission_rebate,rebate_event_count,economic_net,economic_outcome,funding_zero_semantics,unknown_coercion
S05-CYC-b9396ba9c2cfa9b6f33bcd0e,ACTIVE,K03-ACT-B9396BA9C2CFA9B6F33BCD0E,T030,BNBUSDT,LONG,2026-06-01T10:43:22+08:00,2026-06-01T11:03:32+08:00,40,46,69.531,65.66600347,0,0,3.86499653,13.13320073,46,16.99819726,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-c2b797a4e1520b3068e904f7,ACTIVE,K03-ACT-C2B797A4E1520B3068E904F7,T031,INTCUSDT,SHORT,2026-06-01T11:17:23+08:00,2026-06-01T11:18:23+08:00,41,2,2.7888,0,0,0,2.78880000,0,0,2.78880000,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-ca1e2d378f7d73431e5a1673,ACTIVE,K03-ACT-CA1E2D378F7D73431E5A1673,T032,MUUSDT,SHORT,2026-06-01T19:38:34+08:00,2026-06-01T19:43:35+08:00,42,33,21.89199999,6.57413116,0,0,15.31786883,1.31482625,31,16.63269508,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-862a69143030ee555082641d,ACTIVE,K03-ACT-862A69143030EE555082641D,T033,BTCUSDT,LONG,2026-06-01T20:03:41+08:00,2026-06-01T20:06:55+08:00,43,37,281.80079999,202.36530032,0,0,79.43549967,40.47306008,37,119.90855975,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-23d2e923af68247e681e3dc0,ACTIVE,K03-ACT-23D2E923AF68247E681E3DC0,T034,BTCUSDT,LONG,2026-06-01T20:11:07+08:00,2026-06-01T20:11:40+08:00,44,9,390.4000,201.48440000,0,0,188.91560000,40.29688000,9,229.21248000,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-e8dd90bf16aa2a8fa6ec5f62,ACTIVE,K03-ACT-E8DD90BF16AA2A8FA6EC5F62,T035,MUUSDT,SHORT,2026-06-01T20:21:27+08:00,2026-06-01T20:26:14+08:00,45,45,139.99999999,0,0,0,139.99999999,0,0,139.99999999,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-9ba8a80e486253706e3fbf6b,ACTIVE,K03-ACT-9BA8A80E486253706E3FBF6B,T036,HYPEUSDT,LONG,2026-06-01T20:35:45+08:00,2026-06-01T20:39:42+08:00,46,88,92.83699999,32.03394626,0,0,60.80305373,6.40678927,88,67.20984300,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-8520c2914c37f3d47bbe4312,ACTIVE,K03-ACT-8520C2914C37F3D47BBE4312,T037,BNBUSDT,SHORT,2026-06-01T21:04:05+08:00,2026-06-01T21:16:47+08:00,47,4,1.3624,0.50327680,0,0,0.85912320,0.10065536,4,0.95977856,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-71a5ec1acc6b9c53a65ca599,ACTIVE,K03-ACT-71A5EC1ACC6B9C53A65CA599,T038,MUUSDT,SHORT,2026-06-01T21:30:03+08:00,2026-06-01T21:57:13+08:00,48,14,59.99999991,0,0,0,59.99999991,0,0,59.99999991,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-0d8159f930d3170344cc44f2,ACTIVE,K03-ACT-0D8159F930D3170344CC44F2,T039,BTCUSDT,LONG,2026-06-01T22:11:13+08:00,2026-06-01T22:18:52+08:00,49,11,104.5440,88.22404799,0,0,16.31995201,17.64480960,11,33.96476161,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
